REQUISITION_NO;LINE_NO;RELEASE_NO;LAST_AUTHORIZED_DATE;WANTED_RECEIPT_DATE;REQUISITIONER_CODE;REQUISITIONER_NAME;NOTE_TEXT;PART_NO;PART_DESCRIPTION;ORIGINAL_QTY;BUY_UNIT_MEAS;FBUY_UNIT_PRICE;SPEC1;SPEC2;SPB_REFERENCE;BUYER_CODE;STATUS
INP210001115;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_INP1;Site - Infrastructure;;700069468;JASA PERBAIKAN POMPA; 1.0;unit; 6760000.0;;;04/TEK/INP/AGST/21;BUYER11_INP1;Authorized
INP210001083;6;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;;420010148;ISI ULANG OKSIGEN; 8.0;pcs; 80000.0;;;;BUYER11_INP1;Authorized
INP210001083;5;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;SELANG OKSIGEN KLINIK KEBUN;420010157;SELANG O2 (DEWASA); 5.0;pcs; 20000.0;;;;BUYER11_INP1;Authorized
INP210001083;4;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;;420000394;OXYMETER DIGITAL; 5.0;pcs; 500000.0;;;;BUYER11_INP1;Authorized
INP210001083;3;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;MEREK TERUMO;420010067;"INFUSET MAKRO ""GEA"""; 50.0;pcs; 15000.0;;;;BUYER11_INP1;Authorized
INP210001083;2;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;;420000489;CAIRAN RL; 1.0;box; 300000.0;;;;BUYER11_INP1;Authorized
INP210001083;1;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST177_INP1;Site - SHE;;420000488;CAIRAN NACL; 1.0;box; 300000.0;;;;BUYER11_INP1;Authorized
SAL210002404;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST185_SAL2;Site - PSM;;111033758;BUKU LAPORAN HARIAN MANDOR; 8.0;Block; 35000.0;;;14/PSM/VIII/2021;BUYER11_SAL2;Authorized
SDI210002012;8;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;;111050567;MATA BOR TAPPER SHANK; 2.0;pcs; 350000.0;NACHI, 14 MM;;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;6;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;TEKIRO;111111067;TANG SNAPRING OPEN+CLOSE; 7.0;pcs; 179000.0;"9""";TEKIRO;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;5;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;TEKIRO;121034406;KUNCI SHOCK; 1.0;set; 1000000.0;8-32MM;TEKIRO;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;4;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;TEKIRO;111110044;KUNCI RING PAS; 7.0;set; 680000.0;8-32 mm;TEKIRO;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;3;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;;121034954;SCREWDRIVE (+); 6.0;pcs; 34500.0;6X125;;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;2;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;;121034953;SCREWDRIVE (-); 6.0;pcs; 34500.0;6X125;;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002012;1;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;GOSAVE;123040075;APRON LAS; 8.0;pcs; 236000.0;;GOSAVE;SDI/ST/PAB/0422/2021;BUYER506_HO;Authorized
SDI210002013;1;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST161_SDI1;Site - Pabrik;;174180153;LAMPU LED; 10.0;pcs; 225000.0;PHILIPS 30 WATT;;SDI/ST/PAB/0423/2021;BUYER506_HO;Authorized
SYM210000412;1;1;2021/08/12 00:00:00.000;2021/08/12 00:00:00.000;ST167_SYM1;Site - Workshop;;700023101;RM KENDARAAN; 1.0;EA; 312364.0;;GANTI BLADE WIPER & BUSHING SPRING;GSYM/SPB-ST/169/2021;BUYER11_SYM1;Authorized
SAL210002423;9;1;2021/08/12 00:00:00.000;2021/08/07 00:00:00.000;ST166_SAL1;Site - Infrastructure;;171690382;LEM PVC; 1.0;can; 15000.0;;;;BUYER11_SAL1;Authorized
SAL210002423;8;1;2021/08/12 00:00:00.000;2021/08/07 00:00:00.000;ST166_SAL1;Site - Infrastructure;;171690468;SHOCK DRAT DALAM; 2.0;pcs; 5000.0;"3/4""";;;BUYER11_SAL1;Authorized
SAL210002423;7;1;2021/08/12 00:00:00.000;2021/08/07 00:00:00.000;ST166_SAL1;Site - Infrastructure;;171690628;SHOCK DRAT LUAR PVC; 1.0;pcs; 5000.0;"3/4""";;;BUYER11_SAL1;Authorized
SAL210002423;6;1;2021/08/12 00:00:00.000;2021/08/07 00:00:00.000;ST166_SAL1;Site - Infrastructure;;171690149;PIPA PVC; 3.0;pcs; 35000.0;"3/4""";;;BUYER11_SAL1;Authorized
